threshold,atr_stop_mult,r_target,max_hold_bars,trades,win_rate,total_pnl,sharpe,avg_r,stop_pct,target_pct,time_pct,max_dd
0.4,1.0,1.5,20,149,41.61073825503356,-3840.104573757113,-2.8876133829268036,-0.0601407890447609,55.70469798657718,28.859060402684566,15.436241610738255,-4040.4882147999797
0.6,1.0,3.0,60,66,30.303030303030305,-1428.4896541999808,-2.9500111692808337,0.011205562739568643,68.18181818181817,16.666666666666664,15.151515151515152,-3037.4002452714158
0.4,1.0,2.0,10,149,34.899328859060404,-4139.436761478556,-3.0168294614186495,-0.07587284699023941,48.322147651006716,14.76510067114094,36.91275167785235,-4139.436761478557
0.4,1.0,1.5,30,149,39.59731543624161,-4099.865974885691,-3.065634368233996,-0.07314904939447939,58.38926174496645,31.543624161073826,10.06711409395973,-4139.246287999985
0.6,1.5,2.0,10,66,36.36363636363637,-1475.187802742861,-3.1766186382431756,-0.043859766354231534,25.757575757575758,7.575757575757576,66.66666666666666,-1994.594033457144
0.5,1.0,3.0,30,95,30.526315789473685,-2975.8361545714006,-3.217020400222357,-0.06351435212509947,66.3157894736842,17.894736842105264,15.789473684210526,-4209.060545642835
0.4,1.0,2.0,30,149,34.899328859060404,-4578.34140744998,-3.356880517245919,-0.09831527826423206,62.41610738255034,22.14765100671141,15.436241610738255,-4908.0659700142705
0.6,2.0,1.5,30,66,37.878787878787875,-1625.219064257135,-3.501166178173268,-0.0717097357558943,37.878787878787875,22.727272727272727,39.39393939393939,-2220.5977981857077
0.6,1.5,2.0,20,66,39.39393939393939,-1997.9754201071405,-3.5100403936798257,-0.08985403464492436,42.42424242424242,12.121212121212121,45.45454545454545,-2727.76523475
0.6,1.5,1.5,10,66,36.36363636363637,-1491.5243570357247,-3.5394028479717887,-0.04600313286205055,25.757575757575758,16.666666666666664,57.57575757575758,-1948.5780656071518
0.4,1.0,1.5,10,149,35.57046979865772,-4684.785639064278,-3.5451363066000523,-0.11069944502667944,47.651006711409394,23.48993288590604,28.859060402684566,-4684.785639064278
0.5,1.5,1.5,30,95,40.0,-2543.014631339293,-3.5673731673491464,-0.07662545572272023,48.421052631578945,27.368421052631582,24.210526315789473,-3119.981225982147
0.6,1.0,1.5,60,66,40.909090909090914,-1272.3579628642701,-3.826648456695904,0.01534773992784632,57.57575757575758,37.878787878787875,4.545454545454546,-2461.302692507129
0.5,1.0,1.5,60,95,40.0,-2219.668842685701,-3.868890553580672,-0.01772819874884883,58.94736842105262,36.84210526315789,4.2105263157894735,-3069.875063757131
0.6,1.5,1.5,20,66,40.909090909090914,-1671.6451339249966,-3.8941767469023842,-0.0600524701547002,40.909090909090914,21.21212121212121,37.878787878787875,-2284.1780085678547
0.5,1.0,2.0,20,95,37.89473684210527,-2614.3666710428306,-3.9026436755231058,-0.0441384329957162,57.89473684210527,23.157894736842106,18.947368421052634,-3472.234590149975
0.6,1.0,2.5,60,66,31.818181818181817,-1658.1146688642775,-3.926897438548244,-0.011579528892645493,66.66666666666666,22.727272727272727,10.606060606060606,-3121.686745649995
0.5,1.0,2.0,10,95,32.631578947368425,-3073.431279549982,-3.967965497588782,-0.08025913717213873,50.526315789473685,18.947368421052634,30.526315789473685,-3137.726672942845
0.6,1.5,2.0,30,66,33.33333333333333,-2414.8878817214254,-3.992398335548862,-0.12677606044984252,53.03030303030303,19.696969696969695,27.27272727272727,-3167.700976007142
0.5,1.0,2.0,60,95,34.73684210526316,-2625.0394034999863,-4.118715120491082,-0.04331177128136324,64.21052631578948,26.31578947368421,9.473684210526317,-3674.1379958214143
0.5,1.0,2.5,30,95,31.57894736842105,-3453.752743599989,-4.335071089796304,-0.10474778265624735,65.26315789473685,20.0,14.736842105263156,-4393.466905921421
0.6,1.0,3.0,20,66,31.818181818181817,-2970.210081999969,-4.370359733866195,-0.14611298446157844,60.60606060606061,10.606060606060606,28.78787878787879,-3910.4795416428333
0.6,1.0,3.0,10,66,28.78787878787879,-2637.3231094285575,-4.420721129450993,-0.11293550627989539,51.515151515151516,7.575757575757576,40.909090909090914,-3058.1000462142724
0.5,1.0,1.5,30,95,41.05263157894737,-2730.398507292841,-4.607922156904083,-0.05487871506308733,57.89473684210527,32.631578947368425,9.473684210526317,-3295.044557292843
